"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2021 05:27:36.461,1 Jan 2021 05:36:48.730,552.269
2,1 Jan 2021 07:05:44.835,1 Jan 2021 07:13:06.924,442.089
3,1 Jan 2021 15:01:09.609,1 Jan 2021 15:04:28.051,198.442
4,1 Jan 2021 16:34:47.212,1 Jan 2021 16:44:15.302,568.091
5,1 Jan 2021 18:15:04.618,1 Jan 2021 18:20:05.317,300.699
6,2 Jan 2021 04:30:13.495,2 Jan 2021 04:36:02.587,349.093
7,2 Jan 2021 06:06:24.647,2 Jan 2021 06:15:49.006,564.359
8,2 Jan 2021 07:46:52.613,2 Jan 2021 07:48:36.115,103.503
9,2 Jan 2021 15:37:17.645,2 Jan 2021 15:45:01.368,463.723
10,2 Jan 2021 17:13:56.076,2 Jan 2021 17:22:59.083,543.007
