"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2020 04:44:06.820,1 Jan 2020 04:53:36.946,570.126
2,1 Jan 2020 06:21:16.846,1 Jan 2020 06:32:42.155,685.309
3,1 Jan 2020 08:00:39.610,1 Jan 2020 08:06:52.380,372.770
4,1 Jan 2020 15:53:25.429,1 Jan 2020 16:04:02.025,636.596
5,1 Jan 2020 17:30:55.365,1 Jan 2020 17:41:54.858,659.493
6,2 Jan 2020 05:26:26.638,2 Jan 2020 05:37:43.852,677.214
7,2 Jan 2020 07:04:32.631,2 Jan 2020 07:14:42.118,609.487
8,2 Jan 2020 15:00:49.217,2 Jan 2020 15:08:10.218,441.001
9,2 Jan 2020 16:35:39.002,2 Jan 2020 16:47:12.340,693.338
10,2 Jan 2020 18:15:23.040,2 Jan 2020 18:24:02.496,519.456
11,3 Jan 2020 04:32:27.293,3 Jan 2020 04:41:03.003,515.710
12,3 Jan 2020 06:09:16.014,3 Jan 2020 06:20:49.710,693.696
13,3 Jan 2020 07:48:16.964,3 Jan 2020 07:55:41.895,444.932
14,3 Jan 2020 15:41:47.729,3 Jan 2020 15:51:55.267,607.537
15,3 Jan 2020 17:18:43.954,3 Jan 2020 17:30:02.104,678.150
16,4 Jan 2020 05:14:34.023,4 Jan 2020 05:25:32.147,658.124
17,4 Jan 2020 06:52:25.987,4 Jan 2020 07:03:04.151,638.164
18,4 Jan 2020 14:49:39.344,4 Jan 2020 14:55:47.106,367.762
19,4 Jan 2020 16:23:46.793,4 Jan 2020 16:35:11.419,684.626
20,4 Jan 2020 18:02:49.618,4 Jan 2020 18:12:22.610,572.992
21,5 Jan 2020 04:20:55.290,5 Jan 2020 04:28:18.809,443.519
22,5 Jan 2020 05:57:16.730,5 Jan 2020 06:08:53.328,696.598
23,5 Jan 2020 07:36:00.199,5 Jan 2020 07:44:22.987,502.788
24,5 Jan 2020 15:30:14.549,5 Jan 2020 15:39:46.450,571.901
25,5 Jan 2020 17:06:37.115,5 Jan 2020 17:18:07.206,690.091
26,5 Jan 2020 18:48:52.984,5 Jan 2020 18:53:19.449,266.464
27,6 Jan 2020 05:02:43.981,6 Jan 2020 05:13:15.393,631.412
28,6 Jan 2020 06:40:21.116,6 Jan 2020 06:51:21.978,660.862
29,6 Jan 2020 08:20:43.833,6 Jan 2020 08:24:00.066,196.232
30,6 Jan 2020 14:38:43.402,6 Jan 2020 14:43:12.620,269.217
31,6 Jan 2020 16:11:58.518,6 Jan 2020 16:23:08.972,670.454
32,6 Jan 2020 17:50:23.769,6 Jan 2020 18:00:37.789,614.020
33,7 Jan 2020 04:09:36.537,7 Jan 2020 04:15:18.521,341.984
34,7 Jan 2020 05:45:19.072,7 Jan 2020 05:56:52.925,693.853
35,7 Jan 2020 07:23:47.296,7 Jan 2020 07:32:57.686,550.390
36,7 Jan 2020 15:18:46.365,7 Jan 2020 15:27:35.135,528.770
37,7 Jan 2020 16:54:34.564,7 Jan 2020 17:06:10.445,695.881
38,7 Jan 2020 18:35:38.198,7 Jan 2020 18:42:13.664,395.465
39,8 Jan 2020 04:50:57.134,8 Jan 2020 05:00:52.915,595.782
40,8 Jan 2020 06:28:17.856,8 Jan 2020 06:39:35.764,677.908
41,8 Jan 2020 08:07:57.035,8 Jan 2020 08:13:17.769,320.734
42,8 Jan 2020 14:28:32.777,8 Jan 2020 14:29:55.372,82.596
43,8 Jan 2020 16:00:14.216,8 Jan 2020 16:11:04.954,650.738
44,8 Jan 2020 17:38:04.126,8 Jan 2020 17:48:49.319,645.193
45,9 Jan 2020 03:58:55.400,9 Jan 2020 04:01:37.648,162.248
46,9 Jan 2020 05:33:23.175,9 Jan 2020 05:44:48.355,685.180
47,9 Jan 2020 07:11:37.249,9 Jan 2020 07:21:27.043,589.794
48,9 Jan 2020 15:07:23.948,9 Jan 2020 15:15:20.554,476.605
49,9 Jan 2020 16:42:36.094,9 Jan 2020 16:54:11.996,695.902
50,9 Jan 2020 18:22:46.742,9 Jan 2020 18:30:47.450,480.708
51,10 Jan 2020 04:39:14.466,10 Jan 2020 04:48:23.665,549.200
52,10 Jan 2020 06:16:16.141,10 Jan 2020 06:27:45.606,689.466
53,10 Jan 2020 07:55:29.076,10 Jan 2020 08:02:14.082,405.005
54,10 Jan 2020 15:48:34.024,10 Jan 2020 15:58:59.263,625.239
55,10 Jan 2020 17:25:49.853,10 Jan 2020 17:36:57.983,668.131
56,11 Jan 2020 05:21:29.260,11 Jan 2020 05:32:39.377,670.117
57,11 Jan 2020 06:59:29.456,11 Jan 2020 07:09:51.655,622.198
58,11 Jan 2020 14:56:08.707,11 Jan 2020 15:03:01.331,412.624
59,11 Jan 2020 16:30:41.600,11 Jan 2020 16:42:11.966,690.366
60,11 Jan 2020 18:10:07.889,11 Jan 2020 18:19:11.423,543.534
61,12 Jan 2020 04:27:37.667,12 Jan 2020 04:35:45.865,488.198
62,12 Jan 2020 06:04:15.947,12 Jan 2020 06:15:51.524,695.577
63,12 Jan 2020 07:43:09.233,12 Jan 2020 07:50:59.727,470.494
64,12 Jan 2020 15:36:58.167,12 Jan 2020 15:46:51.688,593.522
65,12 Jan 2020 17:13:40.393,12 Jan 2020 17:25:04.297,683.903
66,12 Jan 2020 18:57:09.235,12 Jan 2020 18:59:16.244,127.009
67,13 Jan 2020 05:09:37.657,13 Jan 2020 05:20:25.633,647.976
68,13 Jan 2020 06:47:23.576,13 Jan 2020 06:58:11.911,648.335
69,13 Jan 2020 14:45:03.623,13 Jan 2020 14:50:34.495,330.871
70,13 Jan 2020 16:18:51.028,13 Jan 2020 16:30:10.411,679.383
71,13 Jan 2020 17:57:37.839,13 Jan 2020 18:07:29.273,591.434
72,14 Jan 2020 04:16:10.132,14 Jan 2020 04:22:56.031,405.899
73,14 Jan 2020 05:52:17.329,14 Jan 2020 06:03:53.479,696.150
74,14 Jan 2020 07:30:54.242,14 Jan 2020 07:39:37.985,523.743
75,14 Jan 2020 15:25:26.993,14 Jan 2020 15:34:41.899,554.905
76,14 Jan 2020 17:01:35.368,14 Jan 2020 17:13:08.596,693.228
77,14 Jan 2020 18:43:17.317,14 Jan 2020 18:48:45.832,328.515
78,15 Jan 2020 04:57:48.856,15 Jan 2020 05:08:06.589,617.733
79,15 Jan 2020 06:35:19.392,15 Jan 2020 06:46:28.034,668.642
80,15 Jan 2020 08:15:20.218,15 Jan 2020 08:19:36.524,256.306
81,15 Jan 2020 14:34:17.816,15 Jan 2020 14:37:50.940,213.124
82,15 Jan 2020 16:07:04.397,15 Jan 2020 16:18:07.318,662.921
83,15 Jan 2020 17:45:14.705,15 Jan 2020 17:55:42.810,628.105
84,16 Jan 2020 04:05:01.081,16 Jan 2020 04:09:44.816,283.735
85,16 Jan 2020 05:40:20.379,16 Jan 2020 05:51:51.364,690.985
86,16 Jan 2020 07:18:42.624,16 Jan 2020 07:28:10.360,567.737
87,16 Jan 2020 15:14:01.092,16 Jan 2020 15:22:29.337,508.245
88,16 Jan 2020 16:49:34.539,16 Jan 2020 17:01:11.115,696.576
89,16 Jan 2020 18:30:14.641,16 Jan 2020 18:37:29.159,434.518
90,17 Jan 2020 04:46:03.604,17 Jan 2020 04:55:41.446,577.842
91,17 Jan 2020 06:23:16.779,17 Jan 2020 06:34:40.169,683.390
92,17 Jan 2020 08:02:43.851,17 Jan 2020 08:08:42.736,358.885
93,17 Jan 2020 15:55:21.789,17 Jan 2020 16:06:02.622,640.833
94,17 Jan 2020 17:32:57.385,17 Jan 2020 17:43:53.069,655.683
95,18 Jan 2020 05:28:25.281,18 Jan 2020 05:39:44.992,679.711
96,18 Jan 2020 07:06:33.572,18 Jan 2020 07:16:37.682,604.109
97,18 Jan 2020 15:02:41.444,18 Jan 2020 15:10:13.049,451.605
98,18 Jan 2020 16:37:37.738,18 Jan 2020 16:49:11.998,694.260
99,18 Jan 2020 18:17:29.125,18 Jan 2020 18:25:58.184,509.059
100,19 Jan 2020 04:34:23.117,19 Jan 2020 04:43:08.913,525.797
101,19 Jan 2020 06:11:15.697,19 Jan 2020 06:22:48.379,692.682
102,19 Jan 2020 07:50:19.889,19 Jan 2020 07:57:33.983,434.094
103,19 Jan 2020 15:43:43.370,19 Jan 2020 15:53:56.175,612.806
104,19 Jan 2020 17:20:45.175,19 Jan 2020 17:32:00.703,675.529
105,20 Jan 2020 05:16:32.283,20 Jan 2020 05:27:34.078,661.795
106,20 Jan 2020 06:54:26.613,20 Jan 2020 07:05:00.442,633.829
107,20 Jan 2020 14:51:29.912,20 Jan 2020 14:57:51.173,381.261
108,20 Jan 2020 16:25:44.880,20 Jan 2020 16:37:11.327,686.447
109,20 Jan 2020 18:04:54.253,20 Jan 2020 18:14:19.303,565.051
110,21 Jan 2020 04:22:49.600,21 Jan 2020 04:30:26.684,457.084
111,21 Jan 2020 05:59:16.152,21 Jan 2020 06:10:52.653,696.501
112,21 Jan 2020 07:38:02.324,21 Jan 2020 07:46:16.291,493.967
113,21 Jan 2020 15:32:09.415,21 Jan 2020 15:41:47.726,578.311
114,21 Jan 2020 17:08:37.598,21 Jan 2020 17:20:06.144,688.546
115,21 Jan 2020 18:51:09.669,21 Jan 2020 18:55:05.777,236.108
116,22 Jan 2020 05:04:41.777,22 Jan 2020 05:15:18.202,636.426
117,22 Jan 2020 06:42:21.460,22 Jan 2020 06:53:18.951,657.491
118,22 Jan 2020 08:22:55.910,22 Jan 2020 08:25:41.903,165.994
119,22 Jan 2020 14:40:30.952,22 Jan 2020 14:45:19.279,288.327
