"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Subsolar (deg)"
1 Jan 2021 00:00:00.000,254.972,-01.301,088.696
1 Jan 2021 00:01:00.000,254.921,-00.353,089.644
1 Jan 2021 00:02:00.000,254.928,000.595,090.593
1 Jan 2021 00:03:00.000,254.994,001.542,091.539
1 Jan 2021 00:04:00.000,255.118,002.483,092.480
1 Jan 2021 00:05:00.000,255.299,003.415,093.412
1 Jan 2021 00:06:00.000,255.538,004.333,094.330
1 Jan 2021 00:07:00.000,255.834,005.235,095.233
1 Jan 2021 00:08:00.000,256.186,006.117,096.115
1 Jan 2021 00:09:00.000,256.592,006.976,096.973
1 Jan 2021 00:10:00.000,257.053,007.808,097.805
1 Jan 2021 00:11:00.000,257.566,008.609,098.607
1 Jan 2021 00:12:00.000,258.131,009.377,099.375
1 Jan 2021 00:13:00.000,258.744,010.109,100.106
1 Jan 2021 00:14:00.000,259.405,010.800,100.798
1 Jan 2021 00:15:00.000,260.111,011.449,101.446
1 Jan 2021 00:16:00.000,260.860,012.052,102.050
1 Jan 2021 00:17:00.000,261.648,012.607,102.604
1 Jan 2021 00:18:00.000,262.472,013.111,103.108
1 Jan 2021 00:19:00.000,263.331,013.562,103.559
1 Jan 2021 00:20:00.000,264.219,013.958,103.955
1 Jan 2021 00:21:00.000,265.133,014.296,104.294
1 Jan 2021 00:22:00.000,266.069,014.576,104.574
1 Jan 2021 00:23:00.000,267.024,014.796,104.793
1 Jan 2021 00:24:00.000,267.992,014.955,104.952
1 Jan 2021 00:25:00.000,268.969,015.051,105.049
1 Jan 2021 00:26:00.000,269.951,015.086,105.083
1 Jan 2021 00:27:00.000,270.934,015.058,105.055
1 Jan 2021 00:28:00.000,271.912,014.967,104.964
1 Jan 2021 00:29:00.000,272.881,014.815,104.812
1 Jan 2021 00:30:00.000,273.837,014.601,104.598
1 Jan 2021 00:31:00.000,274.775,014.327,104.324
1 Jan 2021 00:32:00.000,275.692,013.994,103.991
1 Jan 2021 00:33:00.000,276.583,013.604,103.601
1 Jan 2021 00:34:00.000,277.444,013.158,103.156
1 Jan 2021 00:35:00.000,278.272,012.660,102.657
1 Jan 2021 00:36:00.000,279.064,012.110,102.107
1 Jan 2021 00:37:00.000,279.817,011.511,101.509
1 Jan 2021 00:38:00.000,280.527,010.867,100.864
1 Jan 2021 00:39:00.000,281.192,010.179,100.177
1 Jan 2021 00:40:00.000,281.811,009.452,099.449
1 Jan 2021 00:41:00.000,282.380,008.687,098.685
1 Jan 2021 00:42:00.000,282.899,007.889,097.886
1 Jan 2021 00:43:00.000,283.365,007.060,097.057
1 Jan 2021 00:44:00.000,283.777,006.204,096.201
1 Jan 2021 00:45:00.000,284.134,005.324,095.321
1 Jan 2021 00:46:00.000,284.435,004.424,094.421
1 Jan 2021 00:47:00.000,284.680,003.507,093.504
1 Jan 2021 00:48:00.000,284.867,002.576,092.573
1 Jan 2021 00:49:00.000,284.997,001.636,091.633
1 Jan 2021 00:50:00.000,285.068,000.690,090.687
1 Jan 2021 00:51:00.000,285.081,-00.259,089.738
1 Jan 2021 00:52:00.000,285.036,-01.207,088.790
1 Jan 2021 00:53:00.000,284.933,-02.151,087.847
1 Jan 2021 00:54:00.000,284.771,-03.086,086.911
1 Jan 2021 00:55:00.000,284.552,-04.009,085.988
1 Jan 2021 00:56:00.000,284.276,-04.918,085.080
1 Jan 2021 00:57:00.000,283.944,-05.807,084.190
1 Jan 2021 00:58:00.000,283.556,-06.674,083.323
1 Jan 2021 00:59:00.000,283.114,-07.516,082.481
1 Jan 2021 01:00:00.000,282.619,-08.329,081.669
1 Jan 2021 01:01:00.000,282.072,-09.109,080.889
1 Jan 2021 01:02:00.000,281.475,-09.853,080.144
1 Jan 2021 01:03:00.000,280.831,-10.559,079.438
1 Jan 2021 01:04:00.000,280.140,-11.223,078.774
1 Jan 2021 01:05:00.000,279.406,-11.842,078.155
1 Jan 2021 01:06:00.000,278.632,-12.414,077.583
1 Jan 2021 01:07:00.000,277.819,-12.936,077.061
1 Jan 2021 01:08:00.000,276.972,-13.406,076.591
1 Jan 2021 01:09:00.000,276.094,-13.821,076.176
1 Jan 2021 01:10:00.000,275.189,-14.180,075.817
1 Jan 2021 01:11:00.000,274.260,-14.481,075.517
1 Jan 2021 01:12:00.000,273.311,-14.722,075.276
1 Jan 2021 01:13:00.000,272.347,-14.902,075.096
1 Jan 2021 01:14:00.000,271.372,-15.020,074.977
1 Jan 2021 01:15:00.000,270.391,-15.076,074.921
1 Jan 2021 01:16:00.000,269.409,-15.070,074.927
1 Jan 2021 01:17:00.000,268.428,-15.001,074.996
1 Jan 2021 01:18:00.000,267.456,-14.870,075.127
1 Jan 2021 01:19:00.000,266.494,-14.677,075.320
1 Jan 2021 01:20:00.000,265.549,-14.424,075.573
1 Jan 2021 01:21:00.000,264.625,-14.112,075.885
1 Jan 2021 01:22:00.000,263.724,-13.742,076.256
1 Jan 2021 01:23:00.000,262.852,-13.315,076.682
1 Jan 2021 01:24:00.000,262.012,-12.835,077.163
1 Jan 2021 01:25:00.000,261.207,-12.302,077.695
1 Jan 2021 01:26:00.000,260.441,-11.720,078.277
1 Jan 2021 01:27:00.000,259.715,-11.092,078.906
1 Jan 2021 01:28:00.000,259.034,-10.419,079.578
1 Jan 2021 01:29:00.000,258.399,-09.705,080.292
1 Jan 2021 01:30:00.000,257.812,-08.953,081.044
1 Jan 2021 01:31:00.000,257.276,-08.166,081.831
1 Jan 2021 01:32:00.000,256.791,-07.347,082.650
1 Jan 2021 01:33:00.000,256.360,-06.500,083.497
1 Jan 2021 01:34:00.000,255.984,-05.628,084.369
1 Jan 2021 01:35:00.000,255.663,-04.734,085.263
1 Jan 2021 01:36:00.000,255.398,-03.823,086.175
1 Jan 2021 01:37:00.000,255.191,-02.896,087.101
1 Jan 2021 01:38:00.000,255.041,-01.959,088.038
1 Jan 2021 01:39:00.000,254.949,-01.015,088.983
1 Jan 2021 01:40:00.000,254.916,-00.066,089.931
1 Jan 2021 01:41:00.000,254.941,000.883,090.880
1 Jan 2021 01:42:00.000,255.024,001.828,091.825
1 Jan 2021 01:43:00.000,255.165,002.767,092.764
1 Jan 2021 01:44:00.000,255.364,003.695,093.692
1 Jan 2021 01:45:00.000,255.621,004.609,094.606
1 Jan 2021 01:46:00.000,255.933,005.505,095.502
1 Jan 2021 01:47:00.000,256.302,006.381,096.378
1 Jan 2021 01:48:00.000,256.725,007.232,097.229
1 Jan 2021 01:49:00.000,257.202,008.055,098.052
1 Jan 2021 01:50:00.000,257.731,008.846,098.844
1 Jan 2021 01:51:00.000,258.311,009.604,099.601
1 Jan 2021 01:52:00.000,258.939,010.323,100.321
1 Jan 2021 01:53:00.000,259.614,011.002,101.000
